id,Tweet,time,Opinion
165,"@marty713: Won't let me upload the full video 
Mike Oldfield Wrote the 🎵 for the Exorcist too 👇👀 WAKE UP 🇺🇲🌏
CovidHoax CovidTracker 🤬💥…",Sun Jul 12 20:39:31 +0000 2020,Positive
166,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Sun Jul 12 20:08:31 +0000 2020,Neutral
167,"@marty713: Won't let me upload the full video 
Mike Oldfield Wrote the 🎵 for the Exorcist too 👇👀 WAKE UP 🇺🇲🌏
CovidHoax CovidTracker 🤬💥…",Sun Jul 12 20:01:45 +0000 2020,Positive
168,Qualcomm iPhone12 Apple iOS14 GalaxyS20 Android CovidTracker MostRequestedLive FlyingAnts WooDoHwan… ,Sun Jul 12 19:45:44 +0000 2020,Neutral
169,"@marty713: Won't let me upload the full video 
Mike Oldfield Wrote the 🎵 for the Exorcist too 👇👀 WAKE UP 🇺🇲🌏
CovidHoax CovidTracker 🤬💥…",Sun Jul 12 19:44:26 +0000 2020,Positive
170,"@marty713: Won't let me upload the full video 
Mike Oldfield Wrote the 🎵 for the Exorcist too 👇👀 WAKE UP 🇺🇲🌏
CovidHoax CovidTracker 🤬💥…",Sun Jul 12 19:11:08 +0000 2020,Positive
171,"@marty713: Won't let me upload the full video 
Mike Oldfield Wrote the 🎵 for the Exorcist too 👇👀 WAKE UP 🇺🇲🌏
CovidHoax CovidTracker 🤬💥…",Sun Jul 12 18:15:25 +0000 2020,Positive
172,"@orfonline: The 10 countries that have recorded highest COVID19 cases in the world. 

USA, with 3,355,646 cases, remains the most infec…",Sun Jul 12 17:47:46 +0000 2020,Positive
173,"@orfonline: The 10 countries that have recorded highest COVID19 cases in the world. 

USA, with 3,355,646 cases, remains the most infec…",Sun Jul 12 17:44:10 +0000 2020,Positive
174,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Sun Jul 12 17:43:02 +0000 2020,Neutral
175,"@orfonline: Confirmed COVID19 cases in the Indian subcontinent.

DailyUpdates

For more compelling facts, figures and perspectives fro…",Sun Jul 12 17:42:58 +0000 2020,Positive
176,"@orfonline: Tracking five Indian states that have the most COVID19 infections.

CoronaTracker DailyUpdates IndiaFightsCoronavirus…",Sun Jul 12 17:42:51 +0000 2020,Positive
